0.0               The               chief             executive         officer           said              the               last              year              revenue           was               good              
The               0.0               3.55190161573e-05 3.55190161573e-05 0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               
chief             0.0               0.0               0.0               0.0               3.55190161573e-05 0.0               0.0               0.0               0.0               0.0               0.0               
executive         0.0               0.0               0.0               0.0               0.00105851220229  0.0               0.0               0.0               0.0               0.0               0.0               
officer           0.00017615724996  0.0               0.0               0.0               0.000558659217877 0.0               3.55190161573e-05 0.0               0.0               0.000331236846464 0.0               
said              0.000331236846464 0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               3.55190161573e-05 0.0               
the               0.0               0.0               0.000331236846464 0.0               0.0               0.0               0.000531407548712 0.000331236846464 0.0               0.0               0.0               
last              0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.000531407548712 0.0               0.0               0.0               
year              3.55190161573e-05 0.0               0.0               0.0               3.55190161573e-05 0.0               0.0               0.0               0.0               0.0               0.0               
revenue           0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               
was               0.0               0.0               0.0               0.0               0.0               0.000725779496729 0.0               0.0               0.0               0.0               0.0               
good              0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               
